duration,x^0,x^1,x^2,x^3,x^4,x^5,x^6,x^7,y^0,y^1,y^2,y^3,y^4,y^5,y^6,y^7,z^0,z^1,z^2,z^3,z^4,z^5,z^6,z^7,yaw^0,yaw^1,yaw^2,yaw^3,yaw^4,yaw^5,yaw^6,yaw^7,
2, 0.0, 0.0, 0.0, 0.0, 2.1875, -2.625, 1.09375, -0.15625, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 7.28583859910259e-16, 3.642919299551295e-16, 1.3660947373317356e-16, -1.7076184216646695e-17, 2.134523027080837e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
2, 1.0, 0.0, 0.0, 7.28583859910259e-16, 3.642919299551295e-16, 1.3660947373317356e-16, -1.7076184216646695e-17, 2.134523027080837e-18, 0.0, 0.0, 0.0, 0.0, 2.1875, -2.625, 1.09375, -0.15625, 1.0, 0.0, 0.0, 7.28583859910259e-16, 3.642919299551295e-16, 1.3660947373317356e-16, -1.7076184216646695e-17, 2.134523027080837e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
2, 1.0, 0.0, 0.0, 7.28583859910259e-16, -2.1874999999999996, 2.625, -1.09375, 0.15625, 1.0, 0.0, 0.0, 7.28583859910259e-16, 3.642919299551295e-16, 1.3660947373317356e-16, -1.7076184216646695e-17, 2.134523027080837e-18, 1.0, 0.0, 0.0, 7.28583859910259e-16, 3.642919299551295e-16, 1.3660947373317356e-16, -1.7076184216646695e-17, 2.134523027080837e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
2, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 1.0, 0.0, 0.0, 7.28583859910259e-16, -2.1874999999999996, 2.625, -1.09375, 0.15625, 1.0, 0.0, 0.0, 7.28583859910259e-16, 3.642919299551295e-16, 1.3660947373317356e-16, -1.7076184216646695e-17, 2.134523027080837e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
2, 0.0, 0.0, 0.0, 0.0, 0.874999999999999, -0.9187499999999985, 0.34999999999999937, -0.04687499999999991, 0.0, 0.0, 0.0, 0.0, -1.3125000000000002, 1.7062500000000003, -0.7437500000000001, 0.10937500000000003, 1.0, 0.0, 0.0, 7.28583859910259e-16, 3.642919299551295e-16, 1.3660947373317356e-16, -1.7076184216646695e-17, 2.134523027080837e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
2, 1.0, 0.7000000000000006, 0.0, 4.371503159461554e-15, -0.43749999999999845, 0.262499999999991, -0.043749999999993724, -1.1675840958132178e-15, 0.0, 0.7, 0.0, 3.642919299551295e-16, -0.8750000000000014, 1.050000000000002, -0.4375000000000009, 0.06250000000000011, 1.0, 0.0, 0.0, 7.28583859910259e-16, 3.642919299551295e-16, 1.3660947373317356e-16, -1.7076184216646695e-17, 2.134523027080837e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
2, 1.0, -0.6999999999999998, 0.0, 5.100087019371813e-15, 0.8749999999999901, -1.0499999999999927, 0.4374999999999975, -0.0624999999999997, 1.0, 0.7000000000000006, 0.0, 4.371503159461554e-15, -0.43749999999999845, 0.262499999999991, -0.043749999999993724, -1.1675840958132178e-15, 1.0, 0.0, 0.0, 7.28583859910259e-16, 3.642919299551295e-16, 1.3660947373317356e-16, -1.7076184216646695e-17, 2.134523027080837e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
2, 0.0, -0.7, 0.0, -3.642919299551295e-16, 1.7500000000000002, -1.9687500000000007, 0.7875000000000003, -0.10937500000000003, 1.0, -0.6999999999999998, 0.0, 5.100087019371813e-15, -0.43750000000001005, 0.6562500000000075, -0.3062500000000026, 0.046875000000000326, 1.0, 0.0, 0.0, 7.28583859910259e-16, 3.642919299551295e-16, 1.3660947373317356e-16, -1.7076184216646695e-17, 2.134523027080837e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
2, 0.0, 0.0, 0.0, 0.0, -0.4375000000000062, 0.7875000000000094, -0.3937500000000047, 0.06250000000000079, 0.0, 0.0, 0.0, 0.0, -2.6250000000000004, 3.4125000000000005, -1.4875000000000003, 0.21875000000000006, 1.0, 0.0, 0.0, 7.28583859910259e-16, 3.642919299551295e-16, 1.3660947373317356e-16, -1.7076184216646695e-17, 2.134523027080837e-18, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0, 0.0,
2, 1.0, 1.3999999999999997, 0.0, -8.743006318923108e-15, -2.449999999999983, 2.729999999999987, -1.1112499999999959, 0.15749999999999967, 0.0, 1.4, 0.0, 7.28583859910259e-16, -5.5125, 6.930000000000001, -2.9925000000000006, 0.43875, 1.0, 0.0, 0.0, 7.28583859910259e-16, 3.642919299551295e-16, 1.3660947373317356e-16, -1.7076184216646695e-17, 2.134523027080837e-18, 0.0, 0.0, 0.0, 0.0, 4.375, -5.25, 2.1875, -0.3125,
